"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-01","8.72",",,W","0.00",",,W",,,"50",",,W","33",",,W","  310",",,W","  310",",,W","18.1",",,W","25.9",",,W",,,,,,,"    1",",,W"
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-02","6.49",",,W","0.00",",,W",,,"51",",,W","28",",,W","  240",",,W","  270",",,W","15.0",",,W","19.0",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-03","7.61",",,W","0.00",",,W",,,"45",",,W","29",",,W","  270",",,W","  250",",,W","15.0",",,W","21.9",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-04","6.49",",,W","0.00",",,W",,,"55",",,W","32",",,W","  310",",,W","  340",",,W","14.1",",,W","19.0",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-05","10.51",",,W","0.00","T,,W",,,"48",",,W","28",",,W","   70",",,W","   70",",,W","19.9",",,W","28.0",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-06","8.95",",,W","1.09",",,W",,,"47",",,W","35",",,W","   70",",,W","   70",",,W","19.9",",,W","30.0",",,W","    1",",,W",,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-07","10.96",",,W","0.00","T,,W",,,"48",",,W","35",",,W","  280",",,W","  270",",,W","21.0",",,W","33.1",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-08","10.96",",,W","0.40",",,W",,,"48",",,W","30",",,W","   90",",,W","   80",",,W","21.9",",,W","35.1",",,W","    1",",,W",,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-09","15.21",",,W","3.40",",,W",,,"52",",,W","37",",,W","  260",",,W","  250",",,W","29.1",",,W","53.9",",,W","    1",",,W",,,"    1",",,W",,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-10","10.51",",,W","0.00","T,,W",,,"46",",,W","35",",,W","  270",",,W","  260",",,W","31.1",",,W","53.0",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-11","4.70",",,W","0.00",",,W",,,"57",",,W","31",",,W","  260",",,W","  290",",,W","17.0",",,W","23.9",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-12","7.83",",,W","0.74",",,W",,,"45",",,W","37",",,W","   90",",,W","   90",",,W","19.9",",,W","28.0",",,W","    1",",,W","    1",",,W","    1",",,W",,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-13","13.42",",,W","0.00",",,W",,,"46",",,W","30",",,W","  270",",,W","  270",",,W","23.9",",,W","42.1",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-14","6.49",",,W","0.00",",,W",,,"53",",,W","26",",,W","  260",",,W","  250",",,W","23.0",",,W","31.1",",,W",,,,,,,,
"USW00053838","GAINESVILLE LEE GILMER MEMORIAL AIRPORT, GA US","34.27209","-83.83045","386.4","2024-01-15","3.13",",,W","0.00",",,W",,,"56",",,W","40",",,W","  250",",,W","  230",",,W","14.1",",,W","18.1",",,W",,,,,,,,
